77419,The Reaping,it,9,10.0,2018-02-04,2018-02-04,true,1.54,["Drama,  Crime,  Mystery"]
97018,Freaks!,it,3,10.0,2011-04-08,2013-02-10,false,5.884,["Sci-Fi & Fantasy,  Comedy,  Drama"]
122973,Micromostri con Barbascura X,it,2,10.0,2021-04-03,2021-04-17,true,741.0,[Documentary]
234506,Maria Corleone,it,2,10.0,2023-09-13,2023-09-27,true,25.974,["Drama,  Crime"]
46453,Mistero,it,2,10.0,,2015-12-14,false,927.0,[Documentary]
96324,Cattivik,it,2,10.0,2008-12-01,2009-04-19,false,13.109,["Animation,  Comedy"]
217395,Måneskin On The Road - The Series,it,1,10.0,2022-08-10,2023-05-23,true,1.4,["Documentary,  Reality"]
220969,Belve,it,1,10.0,2018-03-14,2023-03-21,true,5.309,[Talk]
73184,Uno bianca,it,1,10.0,2001-02-05,2001-02-06,false,2.087,[Drama]
208281,Mai dire gol - France 98,it,1,10.0,1998-06-07,1998-07-12,false,889.0,[Talk]
218864,Le serie di RaiCultura.it,it,1,10.0,,,true,623.0,[Documentary]
41027,Non smettere di sognare,it,1,10.0,2011-03-16,2011-05-04,false,2.426,[Drama]
75221,Grand Hotel,it,1,10.0,2015-09-01,2015-10-06,false,2.34,["Crime,  Drama,  Mystery"]
41073,Codice rosso,it,1,10.0,,,false,0.6,[Drama]
86095,Caduta Libera,it,1,10.0,2015-05-04,2018-09-09,true,1.4,[Talk]
77030,Mixer,it,1,10.0,1980-04-21,1995-02-14,false,0.6,[Talk]
105845,Un posto al sole,it,1,10.0,1996-10-21,2020-07-13,true,6.98,[Soap]
74361,Dov'è Anna?,it,1,10.0,1976-01-13,1976-02-24,false,1.629,[Drama]
70732,Mai Dire mundial,it,1,10.0,1990-05-09,1990-06-06,false,0.84,[Comedy]
232549,Indagine sulla parapsicologia,it,1,10.0,1978-04-01,1978-04-29,false,0.6,[Documentary]
217680,The Philosophical Cafe,it,1,10.0,2009-01-01,2009-01-01,true,0.6,[Documentary]
78904,Storie Vere,it,1,10.0,2011-11-15,2013-05-10,false,0.6,[Talk]
118974,Puffins – The Series,it,1,10.0,2020-11-27,2020-11-27,true,3.244,["Animation,  Family,  Kids,  Comedy"]
75553,Dirty Hands,it,1,10.0,1978-11-14,1978-11-19,false,1.242,[Drama]
220289,Radio2 Speciale Sanremo con Valerio Lundini,it,1,10.0,2023-02-06,2023-02-12,false,0.6,[Comedy]
