97893,Make It with You,tl,2,10.0,2020-01-13,2020-03-13,false,31.822,[Drama]
101957,A Soldier's Heart,tl,2,10.0,2020-01-20,2020-09-18,false,28.112,["Action & Adventure,  Drama"]
218677,Luv is: Caught in His Arms,tl,1,10.0,2023-01-16,2023-03-10,true,8.1,["Comedy,  Drama"]
197271,My Love From The Star,tl,1,10.0,2017-05-29,2017-08-11,false,21.28,["Drama,  Comedy,  Sci-Fi & Fantasy"]
224566,Pantaxa Laiya,tl,1,10.0,2023-04-23,2023-05-28,true,23.073,[Reality]
136661,BetCin,tl,1,10.0,2021-10-15,2021-11-26,false,1.917,["Comedy,  Drama"]
77742,The Blood Sisters,tl,1,10.0,2018-02-12,2018-08-17,false,39.96,["Action & Adventure,  Mystery"]
122491,"Her Rules, Her No’s",tl,1,10.0,2020-12-14,2020-12-19,false,1.416,["Comedy,  Drama"]
213738,The Rain in España,tl,1,10.0,2023-05-01,2023-07-03,false,4.385,["Drama,  Comedy"]
119717,Padayon The Series,tl,1,10.0,2021-02-27,2021-04-18,true,0.6,[Drama]
196820,Gandara: The Beksplorer,tl,1,10.0,2022-04-03,2022-06-05,true,0.6,["Reality,  Comedy,  Drama,  Documentary"]
93998,Taiwan That You Love,tl,1,10.0,2019-09-25,2019-09-25,false,2.107,["Comedy,  Drama"]
31642,Endless Love,tl,1,10.0,2010-06-28,2010-10-15,false,18.651,[Drama]
228822,Fit Check: Confessions of an Ukay Queen,tl,1,10.0,2023-07-06,2023-07-06,false,3.515,["Comedy,  Drama"]
96334,The Mysterious Case Of Ana Madrigal,tl,1,10.0,2016-01-20,2016-03-23,true,1.206,[Drama]
7138,My Girl,tl,1,10.0,2008-05-26,2008-09-05,false,11.341,["Drama,  Comedy"]
81682,Halik,tl,1,10.0,2018-08-13,2019-06-26,false,27.323,[Drama]
114444,The Shore,tl,1,10.0,2020-12-10,2021-02-11,true,0.6,[Drama]
200965,Raising Mama,tl,1,10.0,2022-04-25,2022-07-29,false,2.911,["Drama,  Family"]
45028,Kailangan Ko'y Ikaw,tl,1,10.0,2013-01-21,2013-04-19,false,20.36,["Crime,  Drama,  Action & Adventure"]
1927,Marinara,tl,1,10.0,2004-06-21,2004-10-01,false,4.439,["Sci-Fi & Fantasy,  Comedy,  Drama"]
87870,Bagman,tl,1,10.0,2019-03-20,2019-12-04,true,2.928,["Action & Adventure,  Drama"]
77743,Encantadia,tl,3,9.7,2016-07-18,2017-05-19,false,40.498,["Drama,  Sci-Fi & Fantasy,  Action & Adventure"]
50038,My Husband's Lover,tl,4,9.5,2013-06-10,2013-10-18,false,145.73,["Drama,  Soap"]
87958,Ilustrado,tl,2,9.5,2014-10-20,2014-11-14,false,5.195,[Drama]
130244,Pepito Manaloto,tl,2,9.5,2010-03-28,2022-08-28,true,47.191,["Family,  Comedy"]
203011,Running Man Philippines,tl,2,9.5,2022-09-03,2022-12-18,true,8.928,["Reality,  Comedy"]
35275,Amaya,tl,2,9.5,2011-05-30,2012-01-13,false,29.867,["Drama,  Action & Adventure"]
219106,Fast Talk with Boy Abunda,tl,2,9.5,2023-01-23,2023-10-03,true,89.54,[Reality]
3668,Bakekang,tl,2,9.5,2006-09-11,2007-03-30,false,42.416,["Action & Adventure,  Drama"]
219533,Secrets of Urduja,tl,3,9.3,2023-02-27,2023-05-08,true,14.466,["Drama,  Sci-Fi & Fantasy"]
114504,The Rich Man's Daughter,tl,3,9.0,2015-05-11,2015-08-07,false,53.131,["Drama,  Family"]
39086,Reel Love Presents Tween Hearts,tl,2,9.0,2010-09-26,2012-06-10,false,30.685,[Drama]
67621,Till I Met You,tl,2,9.0,2016-08-29,2017-01-08,true,39.273,["Comedy,  Drama"]
219410,Magkaagaw,tl,2,9.0,2019-10-21,2021-03-31,false,27.311,["Crime,  Drama"]
97131,Circus,tl,2,9.0,2018-01-21,2018-04-15,false,4.27,["Drama,  Sci-Fi & Fantasy"]
158808,First Lady,tl,2,9.0,2022-02-14,2022-06-30,false,5.365,["Drama,  Family,  Comedy"]
102386,Meant To Be,tl,2,9.0,2017-01-09,2017-06-21,false,21.349,[Comedy]
219318,Mano po Legacy: The Flower Sisters,tl,2,9.0,2022-10-31,2023-01-16,true,36.383,["Drama,  Family"]
210525,Rainbow Prince,tl,1,9.0,2022-01-15,2022-03-19,false,2.208,[Drama]
194830,Article 247,tl,1,9.0,2022-03-07,2022-06-03,false,38.17,["Drama,  Mystery"]
205585,Love You Stranger,tl,1,9.0,2022-06-06,2022-08-11,false,16.652,["Mystery,  Drama"]
201853,False Positive,tl,1,9.0,2022-05-02,2022-05-30,false,9.495,["Reality,  Drama,  Comedy"]
